Game,PlayID,Qtr,Time,Off,Situation,Description,DrivePlays,DriveYards,DriveTime,AwayScoreAfterDrive,HomeScoreAfterDrive,HomeTeam,AwayTeam,Week,GameID,Down,Distance,Yardline_100,GoalToGo,PlayType
1,245,2,09:09,DC,3rd & 7 DC 48,(Shotgun) C.Jones pass incomplete short left to D.Pumphrey.,,,,,,DC,SEA,1,2020020800,3,7,52,0,pass
1,250,2,08:51,DC,4th & 7 DC 48,(Punt) H.Niswander punts for 36 yards to SEA 16. Fair Catch by A.Proehl.,,,,,,DC,SEA,1,2020020800,4,7,52,0,punt
1,255,2,08:45,SEA,1st & 10 SEA 16,J.Gardner rush right tackle to SEA 19 for 3 yards (J.Celestin; E.Qualls),,,,,,DC,SEA,1,2020020800,1,10,84,0,run
1,260,2,08:13,SEA,2nd & 7 SEA 19,(Shotgun) J.Gardner rush left end to SEA 18 for -1 yards (D.Lawrence),,,,,,DC,SEA,1,2020020800,2,7,81,0,run
1,265,2,07:32,SEA,3rd & 8 SEA 18,"(Shotgun) B.Silvers pass short left to K.Farrow to SEA 19 for 1 yards (J.Celestin) PENALTY on SEA. Unnecessary roughness, 9 yards, enforced to SEA 10.",,,,,,DC,SEA,1,2020020800,3,8,82,0,pass
1,270,2,06:56,SEA,4th & 16 SEA 10,"(Punt) B.Miller punts BLOCKED by E.Campbell recovered by J.Celestin for -10 yards, TOUCHDOWN.",3,-6,01:49,6,9,DC,SEA,1,2020020800,4,16,90,0,punt
1,275,2,06:56,SEA,,2pt attempt unsuccessful.,,,,,,DC,SEA,1,2020020800,NA,NA,NA,NA,extra point
1,280,2,06:56,SEA,,"H.Niswander kickoff from DC 30, 56 yds to SEA 14. K.Reynolds to SEA 38 for 56 yards (T.Kinnel)",,,,,,DC,SEA,1,2020020800,NA,NA,NA,NA,kickoff
1,285,2,06:50,SEA,1st & 10 SEA 38,(Shotgun) B.Silvers pass incomplete short middle to A.Proehl.,,,,,,DC,SEA,1,2020020800,1,10,62,0,pass
1,290,2,06:16,SEA,2nd & 10 SEA 38,(Shotgun) B.Silvers pass short right to K.Reynolds to SEA 42 for 4 yards (D.Grant),,,,,,DC,SEA,1,2020020800,2,10,62,0,pass
1,295,2,05:42,SEA,3rd & 6 SEA 42,(Shotgun) B.Silvers pass short right to K.Farrow to SEA 46 for 4 yards (J.Thurman),,,,,,DC,SEA,1,2020020800,3,6,58,0,pass
1,300,2,04:52,SEA,4th & 2 SEA 46,(Punt) B.Miller punts for 44 yards to DC 10. Fair Catch by E.Rogers.,,,,,,DC,SEA,1,2020020800,4,2,54,0,punt
1,305,2,04:45,DC,1st & 10 DC 10,(Shotgun) C.Jones rush left end to DC 13 for 3 yards (P.Martin-Oguike),,,,,,DC,SEA,1,2020020800,1,10,90,0,run
1,310,2,04:10,DC,2nd & 7 DC 13,"(No Huddle, Shotgun) C.Jones pass short right to E.Rogers to DC 15 for 2 yards (G.Igwebuike)",,,,,,DC,SEA,1,2020020800,2,7,87,0,pass
1,315,2,03:32,DC,3rd & 5 DC 15,"(No Huddle, Shotgun) C.Jones pass short left to M.Dupre to DC 19 for 4 yards (C.Stribling)",,,,,,DC,SEA,1,2020020800,3,5,85,0,pass
1,320,2,02:42,DC,4th & 1 DC 19,"(Punt) H.Niswander punts, 47 yds to SEA 34. A.Proehl to SEA 40 for 47 yards (K.Freeman)",,,,,,DC,SEA,1,2020020800,4,1,81,0,punt
1,325,2,02:31,SEA,1st & 10 SEA 40,(Shotgun) B.Silvers scrambles right guard to SEA 41 for 1 yards (J.Massaquoi),,,,,,DC,SEA,1,2020020800,1,10,60,0,pass
1,330,2,02:00,SEA,2nd & 9 SEA 41,(Shotgun) B.Silvers pass incomplete short middle to A.Proehl (A.Tarpley).,,,,,,DC,SEA,1,2020020800,2,9,59,0,pass
1,335,2,01:48,SEA,3rd & 9 SEA 41,(Shotgun) B.Silvers pass incomplete deep left to D.Byrd.,,,,,,DC,SEA,1,2020020800,3,9,59,0,pass
1,340,2,01:40,SEA,1st & 10 DC 44,(Shotgun) T.Williams rush left guard to DC 39 for 5 yards (T.Kinnel),,,,,,DC,SEA,1,2020020800,1,10,44,0,run
1,345,2,01:25,SEA,2nd & 5 DC 39,"(No Huddle, Shotgun) B.Silvers pass incomplete deep right to K.Reynolds.",,,,,,DC,SEA,1,2020020800,2,5,39,0,pass
1,350,2,01:19,SEA,3rd & 5 DC 39,(Shotgun) B.Silvers pass short middle to T.Williams to DC 42 for -3 yards (J.Massaquoi),,,,,,DC,SEA,1,2020020800,3,5,39,0,pass
1,355,2,01:03,SEA,4th & 8 DC 42,(Shotgun) B.Silvers pass short middle to K.Farrow to DC 32 for 10 yards (J.Thurman),,,,,,DC,SEA,1,2020020800,4,8,42,0,pass
1,360,2,00:51,SEA,1st & 10 DC 32,"(No Huddle, Shotgun) K.Farrow rush right end to DC 13 for 19 yards (A.Tarpley)",,,,,,DC,SEA,1,2020020800,1,10,32,0,run
1,365,2,00:26,SEA,1st & 10 DC 13,"(No Huddle, Shotgun) B.Silvers pass short left to T.Williams for 13 yards, TOUCHDOWN.",9,60,02:11,12,9,DC,SEA,1,2020020800,1,10,13,0,pass
1,370,2,00:20,SEA,,1pt attempt successful. K.Reynolds reception.,9,60,02:11,13,9,DC,SEA,1,2020020800,NA,NA,NA,NA,extra point
1,375,2,00:20,DC,,"E.Lacayo kickoff from SEA 30 for 15 yards. Short to DC 21. PENALTY on SEA. Illegal procedure, 34 yards, enforced to SEA 45.",,,,,,DC,SEA,1,2020020800,NA,NA,NA,NA,kickoff
